,rackTotCnt,stationName,parkingBikeTotCnt,shared,stationLatitude,stationLongitude,stationId
104,10,233. 양평1동 YP센터 앞,56,560,37.52848816,126.89164734,ST-282
105,10,235. 신길동 우리은행 옆,4,40,37.50456619,126.91023254,ST-284
106,10,236. 문래동자이아파트 앞,24,240,37.51615524,126.89461517,ST-285
107,20,237. 보라매 두산위브 건너편,13,65,37.49652100,126.91492462,ST-286
108,17,238. 제2구민체육센타 앞,13,76,37.52638626,126.90275574,ST-287
109,19,239. 유스호스텔 앞,32,168,37.52585220,126.90328217,ST-288
110,10,240. 문래역 4번출구 앞,19,190,37.51873779,126.89557648,ST-289
111,10,241. 신길우성1차아파트 앞 공원,2,20,37.50501633,126.89853668,ST-290
112,15,242. 신길선원가와인아파트 앞,3,20,37.51093292,126.91022491,ST-291
113,15,243. 이앤씨드림타워 앞,28,187,37.52708435,126.89138031,ST-292
114,20,244. 영등포삼환아파트 앞,1,5,37.53007889,126.90570831,ST-293
115,14,245. 삼성생명 당산사옥 앞,45,321,37.52826309,126.89662933,ST-294
116,10,248. 초원아파트 앞,3,30,37.53105545,126.92420959,ST-296
117,16,249. 여의도중학교 옆,5,31,37.52457809,126.93580627,ST-297
118,10,250. 대림아파트 사거리,5,50,37.50764084,126.92308044,ST-298
119,10,251. 서울지방병무청 버스정류장,5,50,37.50449371,126.92195129,ST-299
120,10,252. 보라매역4번출구,34,340,37.49982834,126.91994476,ST-300
121,10,254. 도림신협 앞,5,50,37.50380325,126.90341949,ST-302
122,15,255. 도림사거리,3,20,37.50657272,126.90113068,ST-303
123,10,256. 동아에코빌입구,4,40,37.50947571,126.89929962,ST-304
124,14,258. 신길역3번출구,0,0,37.51769257,126.91429901,ST-306
125,17,259. 대방역6번출구,18,106,37.51359177,126.92593384,ST-307
126,15,260. 여의도 마리나선착장 앞,15,100,37.53365707,126.91216278,ST-414
127,12,263. 근로자회관 사거리,44,367,37.51715088,126.88862610,ST-417
128,15,264. 교보생명보험 앞,30,200,37.52193069,126.89161682,ST-418
129,11,265. 영등포유통상가 사거리,19,173,37.52113342,126.89653778,ST-419
130,10,266. 영등포청과시장 사거리,22,220,37.52029419,126.90119171,ST-420
131,15,267. 삼성화재 사옥 옆,8,53,37.53596115,126.89830017,ST-421
132,6,268. 그랜드컨벤션센터 앞,18,300,37.53471756,126.90000153,ST-422
133,10,270. 증권거래소후문교차로,56,560,37.52234268,126.92710114,ST-424
134,10,271. 샛강생태공원방문자센터 앞,15,150,37.51896286,126.92161560,ST-425
135,20,272. 당산육갑문,33,165,37.53533936,126.90367889,ST-426
136,10,275. 신동아아파트,2,20,37.52269745,126.88568115,ST-1320
137,10,276. 영등포로터리2,2,20,37.51828384,126.91263580,ST-1321
138,10,278. 쌍용플레티넘오피스텔,9,90,37.50793076,126.89523315,ST-1323
139,15,279. 영등포 푸르지오 아파트 B,12,80,37.51322937,126.90446472,ST-1353
140,10,280. 양평동6차현대아파트 앞,1,10,37.53210068,126.89443970,ST-1539
141,8,281. 대림신동아아파트 앞,1,13,37.49824142,126.89398193,ST-1540
142,10,282. 신한은행 대림동지점,29,290,37.48752975,126.90487671,ST-1541
143,15,283. 아크로타워 스퀘어(영등포시장),2,13,37.52251816,126.90721893,ST-1649
144,16,284. 센트럴 푸르지오 시티 앞,24,150,37.51821136,126.90222931,ST-1650
145,9,285. 콤텍시스템 앞,25,278,37.49985886,126.89723969,ST-1651
146,12,286. 우성아파트 교차로,36,300,37.49457169,126.89974976,ST-1652
147,10,287. 영등포전화국사거리 (서강어린이공원),0,0,37.52576828,126.90573883,ST-1653
148,10,288. 쌍용예가(구청별관),4,40,37.52809906,126.89338684,ST-1677
149,10,289. 대림3동사거리,13,130,37.49980927,126.89800262,ST-1697
150,12,290. 새말소공원,13,108,37.53150940,126.89782715,ST-1698
151,14,291. 문래동 하이테크 시티,68,486,37.51412964,126.89939117,ST-1699
152,10,292. 영일 어린이공원,12,120,37.51012039,126.90406799,ST-1700
153,15,293. 충북 미래관,6,40,37.52917099,126.90757751,ST-1701
154,10,295.영등포공원 분수대 앞,10,100,37.51481247,126.91170502,ST-1967
155,20,296.KT플라자 영등포점,1,5,37.52630234,126.90538025,ST-1968
156,10,297.국회3문,18,180,37.52863693,126.91267395,ST-1969
157,25,298.KBS 연구동 건너편,30,120,37.52750778,126.91429901,ST-1970
158,10,299.여의도 순복음교회,17,170,37.53179169,126.92245483,ST-1971
159,6,300. 정동사거리,3,50,37.56805038,126.96923065,ST-116
160,20,301. 경복궁역 7번출구 앞,10,50,37.57579422,126.97145081,ST-117
161,12,302. 경복궁역 6번출구 뒤,3,25,37.57561493,126.97289276,ST-118
162,8,303. 광화문역 1번출구 앞,21,263,37.57176971,126.97466278,ST-119
163,16,305. 종로구청 옆,43,269,37.57255936,126.97833252,ST-121
164,11,307. 서울역사박물관 앞,4,36,37.56999969,126.97109985,ST-123
165,31,308. 광화문 S타워 앞,74,239,37.56996918,126.97393799,ST-124
166,13,309. 광화문역 6번출구 옆 B,27,208,37.56996155,126.97615814,ST-125
167,8,310. 청계광장 옆,3,38,37.56887817,126.97747040,ST-126
168,10,314. 국립현대미술관,15,150,37.57970810,126.98085785,ST-130
169,8,316. 종각역 1번출구 앞,24,300,37.57039642,126.98178864,ST-132
170,10,318. 광교사거리 남측,12,120,37.56863403,126.98231506,ST-134
171,17,320. 을지로입구역 4번출구 앞,15,88,37.56622314,126.98358917,ST-136
172,15,321. KEB 하나금융그룹 명동사옥 옆,27,180,37.56546402,126.98413849,ST-137
173,10,322. 명동성당 앞,5,50,37.56447601,126.98696899,ST-138
174,8,324. 신세계백화점 본점 앞,22,275,37.56134415,126.98050690,ST-140
175,15,326. 안국역 5번출구 앞,7,47,37.57624054,126.98616028,ST-142
176,10,327. 낙원상가 옆,5,50,37.57335663,126.98746490,ST-143
177,8,329. 청계2가 사거리 옆,45,563,37.56848526,126.98788452,ST-145
178,10,331. 을지로2가 사거리 북측,25,250,37.56638336,126.98720551,ST-147
179,5,332. 을지로2가 사거리 남측,1,20,37.56599045,126.98779297,ST-148
180,10,334. 종로3가역 2번출구 뒤,2,20,37.57059860,126.99179077,ST-150
181,10,335. 종로3가역 15번출구 뒤,1,10,37.57019424,126.99165344,ST-151
182,8,336. 충무로역 6번출구 앞,5,63,37.56144714,126.99311066,ST-152
183,5,337. 창경궁 입구,4,80,37.57897949,126.99647522,ST-153
184,18,338. 세운스퀘어 앞,7,39,37.57095718,126.99712372,ST-154
185,10,339. 종로4가 사거리,12,120,37.57106781,126.99819183,ST-155
186,8,340. 혜화동 로터리,0,0,37.58562851,127.00067902,ST-156
187,8,341. 혜화역 3번출구 뒤,9,113,37.58156967,127.00178528,ST-157
188,22,342. 대학로 마로니에공원,2,9,37.57978439,127.00253296,ST-158
189,6,343. 힐스테이트창경궁 아파트 앞,0,0,37.57561111,127.00469971,ST-159
190,10,344. 성균관대 E하우스 앞,2,20,37.57419968,127.00659180,ST-160
191,18,345. 서울보증보험본사 앞,20,111,37.57330704,127.00070953,ST-161
192,10,346. 맥스타일 앞,9,90,37.56896210,127.01014709,ST-162
193,18,347. 동대문역사문화공원역 9번출구 앞,5,28,37.56533051,127.00784302,ST-163
194,14,348. 독립문역 사거리,0,0,37.57202911,126.96078491,ST-183
195,5,349. 어린이도서관,2,40,37.57633209,126.96858978,ST-165
196,5,351. 청운초교 앞 삼거리,0,0,37.58496857,126.97041321,ST-167
197,10,352. 중앙고입구 삼거리,10,100,37.58341599,126.98523712,ST-168
198,8,353. 재동초교 앞 삼거리,3,38,37.57938766,126.98494720,ST-169
199,10,354. 포르투갈 대사관 앞,2,20,37.57915497,126.98896027,ST-170
200,15,355. 서울사대부설초등학교 앞,8,53,37.57650757,127.00245667,ST-171
201,15,356. KT혜화지사 앞,6,40,37.57714462,127.00205994,ST-172
202,13,358. 성균관대입구 사거리 A,4,31,37.58250046,126.99853516,ST-173
203,8,359. 원남동사거리,16,200,37.57606125,126.99768066,ST-174
204,10,361. 동묘앞역 1번출구 뒤,3,30,37.57324219,127.01590729,ST-175
205,10,362. 청계8가사거리 A,5,50,37.57223511,127.02317810,ST-176
206,13,363. 신설동역 11번출구 뒤,4,31,37.57559204,127.02285004,ST-177
207,8,364. 창신역 1번출구 앞,5,63,37.57933426,127.01508331,ST-178
208,13,367. 독립문역 3-1번출구 ,0,0,37.57415771,126.95851898,ST-180
209,15,368. SK 서린빌딩 앞,37,247,37.56924820,126.98053741,ST-181
210,23,370. 시청역(2호선) 9번출구 뒤,25,109,37.56322861,126.97483826,ST-185
211,10,371. 동대입구역 6번출구 뒤,7,70,37.55887222,127.00553894,ST-186
212,10,372. 약수역 3번출구 뒤,2,20,37.55429459,127.01119995,ST-187
213,12,374. 청구역 2번출구 앞,5,42,37.56209183,127.01467133,ST-189
214,7,379. 서울역9번출구,12,171,37.55599976,126.97335815,ST-194
215,8,380. CJ제일제당 앞,3,38,37.56386566,127.00274658,ST-195
216,10,381. 장충체육관,0,0,37.55853271,127.00698853,ST-196
217,7,382. 약수역 10번출구 앞,0,0,37.55519867,127.01004791,ST-197
218,27,383. 신당역 12번 출구 뒤,2,7,37.56591797,127.01642609,ST-198
219,5,384. 중림동삼거리,1,20,37.55978012,126.96850586,ST-199
220,10,385. 종각역 5번출구,9,90,37.56983566,126.98265839,ST-336
221,10,387. 훈련원공원주차장 앞,1,10,37.56699371,127.00346375,ST-338
222,10,388. 동성중학교 앞,0,0,37.58573532,127.00160980,ST-444
223,9,389. 을지로4가역 1번출구,8,89,37.56673050,126.99660492,ST-943
224,12,390. 충무로역 1번출구,2,17,37.56138992,126.99535370,ST-944
225,8,391. 시립미술관,26,325,37.56505203,126.97340393,ST-977
226,12,393. 동대문역 8번 출구,18,150,37.57014084,127.00937653,ST-1372
227,15,394. 경희궁 자이 3단지,8,53,37.56748962,126.96591949,ST-1373
228,8,395. 경희궁 자이 2단지,2,25,37.56885529,126.96456146,ST-1374
229,13,397. 종묘공영주차장 건너편,4,31,37.57048035,126.99663544,ST-1432
230,8,398. 을지로3가역 3번출구,1,13,37.56660461,126.99249268,ST-1435
231,15,399. 서울역 센트럴 자이아파트,28,187,37.55410767,126.96540833,ST-1436
232,14,400. 상암한화오벨리스크 1차 앞,8,57,37.58752441,126.88300323,ST-110
233,13,401. 상암월드컵파크 10단지 앞,3,23,37.58618927,126.88161469,ST-76
234,20,402. 상암월드컵파크 9단지 앞,2,10,37.58292770,126.87983704,ST-77
235,20,403. 부엉이공원 앞,0,0,37.58559036,126.88472748,ST-78
236,8,405. DMC빌 앞,9,113,37.58265686,126.88578796,ST-80
237,15,406. 상암월드컵파크 7단지 앞,0,0,37.58108902,126.88088226,ST-81
238,17,407. 마포구 육아종합지원센터,51,300,37.58063126,126.88367462,ST-83
239,14,408. LG CNS앞,35,250,37.58081055,126.88665009,ST-84
240,30,409. 누리꿈스퀘어 옆,96,320,37.57939911,126.88916016,ST-86
241,10,410. 상암중학교 옆,1,10,37.57739258,126.88747406,ST-88
242,10,411. DMC홍보관,72,720,37.57799530,126.89147186,ST-90
243,21,412. DMC산학협력연구센터 앞,32,152,37.57565689,126.89079285,ST-91
244,10,413. 상암월드컵파크 3단지 후문,3,30,37.57147598,126.88968658,ST-92
245,8,414. 상암동주민센터 옆,42,525,37.57822037,126.89447021,ST-94
246,10,415. DMC역 9번출구 앞,4,40,37.57746887,126.89736176,ST-95
247,12,416. 상암월드컵파크 1단지 교차로,7,58,37.57566452,126.89444733,ST-96
248,20,417. DMC역 2번출구 옆,7,35,37.57506943,126.89991760,ST-93
249,20,418. 월드컵경기장역 3번출구 옆,13,65,37.57048035,126.89889526,ST-89
250,21,419. 홈플러스 마포점 앞,26,124,37.56842041,126.89942932,ST-87
251,37,420. 서울시 공공자전거 상암센터,125,338,37.56624603,126.89617920,ST-85
252,8,421. 마포구청 앞,8,100,37.56574631,126.90186310,ST-82
253,9,422. 문화비축기지,10,111,37.56897736,126.89440155,ST-968
254,15,424. 롯데하이마트 (상암월드컵점),18,120,37.57361984,126.89804840,ST-990
255,10,425. DMC첨단산업센터,9,90,37.58450317,126.88559723,ST-991
256,10,426. 서울신용보증재단,38,380,37.54906082,126.95417786,ST-992
257,12,427. 성산시영아파트,7,58,37.56937790,126.90402985,ST-1397
258,10,428. 명보사거리,5,50,37.56439972,126.99143219,ST-1437
259,8,429. 송도병원,5,63,37.54988861,127.00734711,ST-1438
260,6,430. 장충동먹자골목 앞,5,83,37.56212616,127.00625610,ST-1439
261,25,431. 청계천 영도교,1,4,37.57101440,127.01974487,ST-1440
262,10,432. 마포중앙도서관,3,30,37.56333923,126.90820312,ST-1494
263,12,433. 을지로입구역 2번출구,13,108,37.56634521,126.98229218,ST-1668
264,10,434. 신당 래미안 버스정류장,2,20,37.56148911,127.02393341,ST-1669
265,10,435. SK 남산빌딩,0,0,37.55686188,126.97561646,ST-1670
266,10,436. 이대역 5번출구,7,70,37.55659103,126.94618988,ST-1675
267,11,437. 대흥역 1번출구,5,45,37.54846954,126.94092560,ST-1691
268,15,438. 성산2-1 공영주차장,2,13,37.56472015,126.90676880,ST-1692
269,15,440. 하늘공원 입구,10,67,37.57012177,126.88134766,ST-1754
270,15,441.염천교사거리,40,267,37.55989075,126.97149658,ST-1761
271,13,442.서울역 서부,0,0,37.55641556,126.96919250,ST-1768
272,9,443.호암아트홀,10,111,37.56211090,126.97071838,ST-1769
273,15,445.대한상공회의소,41,273,37.56015396,126.97410583,ST-1771
274,13,446. 상명대입구,4,31,37.60012817,126.95783234,ST-938
275,6,447. 신영동삼거리,3,50,37.60399246,126.96194458,ST-939
276,10,449. 일성아파트,15,150,37.60871887,126.97286224,ST-941
277,51,450. 효자동 삼거리,1,2,37.58360291,126.97254944,ST-978
278,8,451. 청와대앞길,1,13,37.58351517,126.97966766,ST-979
279,13,452. 동대문 종합시장 버스정류장,9,69,37.57123947,127.00440979,ST-1605
280,10,453. 종로오가 지하쇼핑센터 14번출구,1,10,37.57114029,127.00067139,ST-1606
281,13,454. 종로2가 버스정류장 (종각방향),3,23,37.57035828,126.98638153,ST-1607
282,8,455. 종로6가역 버스정류장(동대문 방향),13,163,37.57096100,127.00605774,ST-1608
283,10,456. 숭인2동 주민센터 입구,4,40,37.57447052,127.01982880,ST-1609
284,10,457. 종로꽃시장 입구 옆,12,120,37.57131958,127.00720978,ST-1610
285,21,458. 광화문역 5번출구,14,67,37.56989288,126.97756958,ST-1611
286,10,461. 서울경찰청,1,10,37.57436371,126.97236633,ST-1619
287,10,464. 삼청동 골목,21,210,37.58419037,126.98169708,ST-1756
288,5,465. 삼청공원 앞,1,20,37.58760452,126.98359680,ST-1759
289,13,466.롯데호텔,48,369,37.56584167,126.97981262,ST-1772
290,10,467.한국은행,20,200,37.56221390,126.98086548,ST-1773
291,8,468.웨스틴 조선호텔,19,238,37.56415939,126.97948456,ST-1774
292,11,469.회현역 1번출구,0,0,37.55923080,126.98014069,ST-1775
293,13,470.회현역 7번출구,2,15,37.55974579,126.98000336,ST-1776
294,10,471.회현사거리 남측,12,120,37.56035995,126.98265076,ST-1777
295,12,472.삼일교(시그니쳐 타워),48,400,37.56787109,126.98840332,ST-1778
296,20,473.을지로4가역 9번출구,0,0,37.56605148,126.99798584,ST-1779
297,40,474.동대문역사문화공원역 1번출구 뒤편,42,105,37.56629944,127.00849152,ST-1780
298,21,475.DDP 패션몰,12,57,37.56764984,127.01181030,ST-1781
299,10,476.광희문,0,0,37.56443024,127.00995636,ST-1782
300,10,477.앰배서더 호텔 주변,5,50,37.55928802,127.00268555,ST-1783
301,8,479.동대입구역 3번 출구,2,25,37.55937576,127.00602722,ST-1785
302,8,480.약수역 6번 출구,1,13,37.55432129,127.01070404,ST-1786
303,12,483.남산타운아파트 버스정류장,5,42,37.54758453,127.00643921,ST-1789
304,10,485.서울역5번출구,5,50,37.55677032,126.97319794,ST-1791
305,5,486. 평창동주민센터 앞,1,20,37.60627365,126.96832275,ST-2019
306,10,488.푸르메병원,1,10,37.58456802,126.88021088,ST-2147
307,10,489.구룡근린공원,0,0,37.58320236,126.88276672,ST-2148
308,23,490.가온문화공원,54,235,37.58207703,126.88766479,ST-2149
309,10,491.월드컵파크 4단지,4,40,37.57597733,126.88806915,ST-2150
310,7,493.홍대입구역 6번출구,2,29,37.55657578,126.92885590,ST-2152
311,10,495.염리초등학교 앞,28,280,37.54243088,126.94699860,ST-2154
312,25,497.합정동주민센터 앞,22,88,37.55175400,126.91230011,ST-2156
313,10,498.연남동주민센터 앞,33,330,37.56465149,126.92212677,ST-2157
314,5,500. 어린이대공원역 3번출구 앞,2,40,37.54705048,127.07433319,ST-97
315,30,501. 광진구의회 앞,2,7,37.53730774,127.07035065,ST-98
316,33,502. 자양(뚝섬한강공원)역 1번출구 앞,5,15,37.53186035,127.06719208,ST-99
317,11,505. 자양사거리 광진아크로텔 앞,0,0,37.53701019,127.08224487,ST-102
318,7,506. 금호 어울림 아파트 앞,45,643,37.54906082,127.05779266,ST-103
319,10,508. 성수아카데미타워 앞,7,70,37.54516983,127.05757141,ST-105
320,15,510. 뚝도아리수정수센터 버스정류소 옆,14,93,37.54122162,127.04380035,ST-107
321,16,511. 서울숲역 5번 출구 옆,11,69,37.54458237,127.04460907,ST-108
322,15,512. 뚝섬역 1번 출구 옆,30,200,37.54856110,127.04500580,ST-109
323,13,513. 뚝섬역 5번 출구 정류소 옆,21,162,37.54630661,127.04980469,ST-111
324,12,514. 성수사거리 버스정류장 앞,24,200,37.54257965,127.06330872,ST-112
325,10,516. 광진메디칼 앞,1,10,37.54840469,127.06936646,ST-114
326,20,518. 청계천 박물관 앞,33,165,37.57152557,127.03535461,ST-234
327,20,519. 양지사거리,2,10,37.56699371,127.02991486,ST-235
328,7,520. 상왕십리역 4번 출구 앞,15,214,37.56385803,127.03031921,ST-236
329,14,521. 왕십리역 11번 출구 앞,11,79,37.56144714,127.03491974,ST-237
330,5,522. 금호역 1번출구 앞,1,20,37.54864120,127.01642609,ST-238
331,7,523. 옥수동성당 옆,0,0,37.54366302,127.01406097,ST-239
332,10,524. 래미안금호하이리버 아파트 102동 옆,0,0,37.55220032,127.02505493,ST-240
333,20,525. 한양대병원사거리,22,110,37.55805206,127.04035187,ST-241
334,10,526. 용답토속공원 앞,22,220,37.56351089,127.05672455,ST-242
335,8,529. 장한평역 8번 출구 앞,5,63,37.56137085,127.06365967,ST-243
336,9,530. 청계벽산아파트 앞,1,11,37.56874847,127.03040314,ST-244
337,7,533. 금남시장 교차로,11,157,37.54814911,127.02108765,ST-245
338,10,534. 금호사거리,0,0,37.54863358,127.02572632,ST-246
339,11,535. 응봉삼거리,0,0,37.55398560,127.03359222,ST-247
340,8,536. 행당역 2번출구 앞,0,0,37.55735016,127.02921295,ST-248
341,10,537. 한양대후문역 부근,0,0,37.56035614,127.04139709,ST-249
342,10,539. 군자교교차로,0,0,37.55979538,127.07420349,ST-252
343,8,540. 군자역 7번출구 베스트샵 앞,0,0,37.55603027,127.07864380,ST-253
344,19,542. 강변역 4번출구 뒤,20,105,37.53582382,127.09416199,ST-254
345,20,543. 구의공원(테크노마트 앞),4,20,37.53598785,127.09462738,ST-255
346,10,544. 광남중학교,0,0,37.54072952,127.10290527,ST-256
347,8,546. 잠실대교북단 교차로,0,0,37.53247833,127.08509064,ST-257
348,20,548. 자양나들목,0,0,37.52976990,127.07485962,ST-258
349,10,549. 아차산역 3번출구,3,30,37.55122375,127.08970642,ST-259
350,20,550. 서울시설공단 앞,43,215,37.57164001,127.03565979,ST-251
